Date,Open,High,Low,Close,Adj Close,Volume
2012-05-14,41.75829832440098,44.687834927280775,37.736393938592656,37.96479797363281,573576400,37.96479797363281
2012-05-21,36.27659502100519,36.40569428894679,30.725373852456954,31.688644409179688,430966300,31.688644409179688
2012-05-28,31.261625483096953,31.470169716034057,26.643882513437738,27.527708053588867,288826000,27.527708053588867
2012-06-04,27.01132070974522,27.567435590170728,25.342974174350903,26.91201400756836,203386400,26.91201400756836
2012-06-11,26.991456005379725,29.89120040236507,26.65381439179038,29.80182456970215,121558000,29.80182456970215
2012-06-18,29.752174143533782,33.21796656249229,29.205990112162535,32.82073974609375,186090800,32.82073974609375
2012-06-25,32.63205534371094,33.20802999427305,30.54662237362308,30.88426399230957,115019800,30.88426399230957
2012-07-02,31.03322167959933,31.678712311711486,30.33807675632929,31.509891510009766,43863300,31.509891510009766
2012-07-09,31.877325175349785,32.65191699803829,30.338078070987546,30.506898880004883,64494000,30.506898880004883
2012-07-16,30.28842698983183,30.28842698983183,26.961664958026763,28.560497283935547,97506700,28.560497283935547
2012-07-23,27.924939024373238,29.285434596726198,22.125449575716694,23.545528411865234,228860400,23.545528411865234
2012-07-30,23.833516411066277,23.87323984759455,19.682511999746733,20.943702697753906,267091200,20.943702697753906
2012-08-06,21.241620068317705,22.294268365925383,20.079736112745174,21.658706665039062,135504600,21.658706665039062
2012-08-13,21.996348570272385,22.294268654134797,18.868200001481824,18.9178524017334,399001700,18.9178524017334
2012-08-20,18.917849195627447,19.990357148709805,18.619931056372423,19.275352478027344,284155300,19.275352478027344
2012-08-27,19.354799624131246,19.39452305737422,17.904928404878678,17.93471908569336,151657400,17.93471908569336
2012-09-03,17.954580762757228,19.285285467584167,17.428256638152757,18.848337173461914,189842400,18.848337173461914
2012-09-10,18.927783040370162,21.926834197140124,18.421320608402972,21.847389221191406,334751400,21.847389221191406
2012-09-17,22.512741120904955,23.207886066094918,21.22175981597227,22.70142364501953,274677900,22.70142364501953
2012-09-24,21.628914956687403,21.82752643982023,19.66264858308488,21.509746551513672,259372000,21.509746551513672
2012-10-01,21.926835745027343,22.433298212747378,20.735159127554578,20.764951705932617,200025600,20.764951705932617
2012-10-08,20.258488739225115,20.606061235270083,19.315079843237598,19.384593963623047,139347000,19.384593963623047
2012-10-15,19.543483563364134,20.33793334475386,18.66958690971775,18.868200302124023,173091300,18.868200302124023
2012-10-22,19.066811144855254,24.081778744260458,18.917850173411242,21.787803649902344,489096200,21.787803649902344
2012-10-29,20.67557765959024,21.53954356636931,20.586201810815922,21.0330810546875,175436500,21.0330810546875
2012-11-05,20.953632810781517,21.330995973774687,18.997297196131193,19.07674217224121,170816300,19.07674217224121
2012-11-12,19.01715821810943,23.764000575884154,18.739101758953485,23.39656639099121,554915200,23.39656639099121
2012-11-19,23.793795541120442,24.508802322813914,22.54253746139269,23.833518981933594,251059900,23.833518981933594
