Date,Open,High,Low,Close,Adj Close,Volume
2004-08-16,2.4721225692641937,2.6965918992497553,2.372249697969806,2.6775567531585693,1356284704,2.6775567531585693
2004-08-23,2.737876083285615,2.8053649689082807,2.560377464908045,2.6241581439971924,1125298143,2.6241581439971924
2004-08-30,2.6026508013055194,2.6078430013647154,2.4459183465401897,2.472369909286499,794237881,2.472369909286499
2004-09-06,2.497091203323768,2.634294138915772,2.4624818268919646,2.6038870811462402,474118476,2.6038870811462402
2004-09-13,2.636024826761892,2.9044981002807617,2.631822270521966,2.9044981002807617,967075300,2.9044981002807617
2004-09-20,2.8911480206418987,3.0679043138318156,2.886698408789583,2.9623451232910156,866054062,2.9623451232910156
2004-09-27,2.9556699818601473,3.3378604569220576,2.9121613795209833,3.277540922164917,1675817921,3.277540922164917
2004-10-04,3.3435467805035217,3.458005426686883,3.269135822563097,3.4048550128936768,1337566807,3.4048550128936768
2004-10-11,3.3868082351436963,3.596939324292583,3.2978117445822153,3.5625760555267334,1317046178,3.5625760555267334
2004-10-18,3.5400801597284546,4.454024511994018,3.451083659081185,4.2626824378967285,3169567955,4.2626824378967285
2004-10-25,4.360824204775444,4.943008820935935,4.265647065320558,4.712854862213135,4193142236,4.712854862213135
2004-11-01,4.784793819904971,4.983799327726077,4.166763337116468,4.186539649963379,2878854358,4.186539649963379
2004-11-08,4.225600459570131,4.692089576410134,4.085677767518929,4.499263763427734,2594954205,4.499263763427734
2004-11-15,4.460946245755425,4.655502410834015,4.097049724340849,4.1877760887146,3065475247,4.1877760887146
2004-11-22,4.065901035094262,4.450563022329122,3.987782106075889,4.434741497039795,1868682124,4.434741497039795
2004-11-29,4.458720473735919,4.523984907484781,4.388264550938853,4.459709644317627,1540183428,4.459709644317627
2004-12-06,4.428313967350423,4.4671268507491835,4.164785625526388,4.243399143218994,1310409395,4.243399143218994
2004-12-13,4.256253619344969,4.466877843329018,4.189011794188775,4.451797962188721,1739977509,4.451797962188721
2004-12-20,4.499263834534148,4.662423994778634,4.496049739632453,4.645118713378906,918325255,4.645118713378906
2004-12-27,4.676021274281141,4.941279956007876,4.674784574185948,4.7660064697265625,1064005261,4.7660064697265625
2005-01-03,4.8799698839587755,5.034230799398009,4.640668695808353,4.792210102081299,2324146943,4.792210102081299
2005-01-10,4.808279493197312,4.9444935113434205,4.709395075241743,4.94350528717041,1572504121,4.94350528717041
2005-01-17,4.9682252951694865,5.075268709509777,4.650558096154134,4.654513359069824,1714012549,4.654513359069824
2005-01-24,4.66464976092465,4.813224634342377,4.3581057312522145,4.705439567565918,2241385892,4.705439567565918
2005-01-31,4.788255645037865,5.359562332356094,4.712608693821495,5.05203104019165,3575046111,5.05203104019165
2005-02-07,5.074279392063884,5.102460814377404,4.5796074936709115,4.632757663726807,2959475417,4.632757663726807
2005-02-14,4.520276816025829,4.940290487888686,4.4745425840101305,4.893567085266113,4006063638,4.893567085266113
2005-02-21,4.857722094302044,4.917051983933974,4.504949751988544,4.594934940338135,2604024073,4.594934940338135
2005-02-28,4.598149352547506,4.6938196758489354,4.499263987660114,4.595676898956299,1557728948,4.595676898956299
2005-03-07,4.642152953914845,4.693325262021346,4.37936579870506,4.395434379577637,1889564103,4.395434379577637
2005-03-14,4.408537343933751,4.459710125355492,4.266143146970066,4.450809955596924,1767624750,4.450809955596924
2005-03-21,4.431774724992956,4.503465934168994,4.3818381712371295,4.431280612945557,869872320,4.431280612945557
2005-03-28,4.49135317506133,4.568483404523944,4.391479119076624,4.450809955596924,1381065241,4.450809955596924
2005-04-04,4.44858597291294,4.823111552629421,4.445865990166682,4.747712135314941,1480508587,4.747712135314941
2005-04-11,4.773422858810845,4.815695473360989,4.565022565453566,4.573427677154541,1486189801,4.573427677154541
2005-04-18,4.563044329982458,5.537555402247179,4.53609818486903,5.335088729858398,3267754608,5.335088729858398
2005-04-25,5.384778347351072,5.555849030239031,5.358079257670905,5.438671112060547,2618971893,5.438671112060547
2005-05-02,5.489348137816026,5.682915566825458,5.443861436672369,5.636934280395508,2164265907,5.636934280395508
2005-05-09,5.636441302728691,5.741011798491344,5.555355330262526,5.667095184326172,1594959977,5.667095184326172
2005-05-16,5.6779718027920225,5.974379378163434,5.650531547560473,5.972895622253418,1753841279,5.972895622253418
2005-05-23,6.01121479908135,6.5770833720447675,6.000090178650236,6.5758466720581055,3782926388,6.5758466720581055
2005-05-30,6.660641254735418,7.240601522685281,6.659158445207091,6.928372383117676,3781517125,6.928372383117676
